Method,MSD
Bayesian Single using Original chains,0.04081550561496071
Bayesian Single using Original chains,0.04009418648897796
Bayesian Single using Original chains,0.04018783656899199
Bayesian Single using Original chains,0.040225591888216554
Bayesian Single using Original chains,0.040254262022032965
Bayesian Single using Original chains,0.04063940273969443
Bayesian Single using Original chains,0.04041459854467214
Bayesian Single using Original chains,0.04055737776781328
Bayesian Single using Original chains,0.04020758446411254
Bayesian Single using Original chains,0.040233655940888874
Bayesian Single using Original chains,0.045462064651154654
Bayesian Single using Original chains,0.04065203392121959
Bayesian Single using Original chains,0.04049415004972318
Bayesian Single using Original chains,0.040620655488372924
Bayesian Single using Original chains,0.04064331380261936
Bayesian Single using Original chains,0.04052580882103511
Bayesian Single using Original chains,0.040382848249271845
Bayesian Single using Original chains,0.04068796432034852
Bayesian Single using Original chains,0.040353922802128975
Bayesian Single using Original chains,0.040122109236158006
Bayesian Single using Original chains,0.04060362999634616
Bayesian Single using Original chains,0.04028586123724102
Bayesian Single using Original chains,0.04012753482647177
Bayesian Single using Original chains,0.040794478774544236
Bayesian Single using Original chains,0.04023327738872212
Bayesian Single using Original chains,0.04000422407970094
Bayesian Single using Original chains,0.04038997846983088
Bayesian Single using Original chains,0.04041508736366939
Bayesian Single using Original chains,0.04027853040939184
Bayesian Single using Original chains,0.04021415987473562
Bayesian Single using Original chains,0.04039181335685436
Bayesian Single using Original chains,0.04009583600429386
Bayesian Single using Original chains,0.04038304585630392
Bayesian Single using Original chains,0.040255591728102724
Bayesian Single using Original chains,0.0420853260403596
Bayesian Single using Original chains,0.04019858435718022
Bayesian Single using Original chains,0.04012535003582194
Bayesian Single using Original chains,0.04034140661076545
Bayesian Single using Original chains,0.04075092635810279
Bayesian Single using Original chains,0.04060068994095213
Bayesian Single using Original chains,0.0417700947217844
Bayesian Single using Original chains,0.04108384159413505
Bayesian Single using Original chains,0.04007920217486985
Bayesian Single using Original chains,0.0400471937410747
Bayesian Single using Original chains,0.04045010392946947
Bayesian Single using Original chains,0.04009381852113305
Bayesian Single using Original chains,0.04175192196383004
Bayesian Single using Original chains,0.04160861062334486
Bayesian Single using Original chains,0.04077897275325798
Bayesian Single using Original chains,0.04014759914912824
Bayesian Single using Original chains,0.040183452399334255
Bayesian Single using Original chains,0.04002159371435549
Bayesian Single using Original chains,0.04039722589914205
Bayesian Single using Original chains,0.040080971417850844
Bayesian Single using Original chains,0.04061706805882074
Bayesian Single using Original chains,0.0441244614090472
Bayesian Single using Original chains,0.041273946977249454
Bayesian Single using Original chains,0.04007295959454832
Bayesian Single using Original chains,0.0428077533990124
Bayesian Single using Original chains,0.04140463471647455
Bayesian Multi using Original chains,0.04129256522551889
Bayesian Multi using Original chains,0.04098711360383783
Bayesian Multi using Original chains,0.04078145801479224
Bayesian Multi using Original chains,0.0410201485907292
Bayesian Multi using Original chains,0.04056015717319999
Bayesian Multi using Original chains,0.0408023406463989
Bayesian Multi using Original chains,0.04054652244522964
Bayesian Multi using Original chains,0.04070748828299419
Bayesian Multi using Original chains,0.04113192282055639
Bayesian Multi using Original chains,0.040368846601462165
Bayesian Multi using Original chains,0.04106321273585996
Bayesian Multi using Original chains,0.04064278835606509
Bayesian Multi using Original chains,0.04083346862917058
Bayesian Multi using Original chains,0.0411051722792104
Bayesian Multi using Original chains,0.04110446353101541
Bayesian Multi using Original chains,0.040591327359218346
Bayesian Multi using Original chains,0.04068552187482283
Bayesian Multi using Original chains,0.041146093288394546
Bayesian Multi using Original chains,0.04063314640279277
Bayesian Multi using Original chains,0.04079020810870805
Bayesian Multi using Original chains,0.04139400442592835
Bayesian Multi using Original chains,0.041274376092819906
Bayesian Multi using Original chains,0.040546427888759506
Bayesian Multi using Original chains,0.04115540021043215
Bayesian Multi using Original chains,0.04159308601557801
Bayesian Multi using Original chains,0.04087576332764038
Bayesian Multi using Original chains,0.04064194136311596
Bayesian Multi using Original chains,0.04160444809854324
Bayesian Multi using Original chains,0.040742594306607684
Bayesian Multi using Original chains,0.041205122665458636
Bayesian Multi using Original chains,0.04076878492148041
Bayesian Multi using Original chains,0.04085123885984989
Bayesian Multi using Original chains,0.04093662727279758
Bayesian Multi using Original chains,0.04101867853038362
Bayesian Multi using Original chains,0.04089892231550355
Bayesian Multi using Original chains,0.04151869144150522
Bayesian Multi using Original chains,0.04050936778977957
Bayesian Multi using Original chains,0.040899896401975985
Bayesian Multi using Original chains,0.0406963179895208
Bayesian Multi using Original chains,0.04136140625746271
